course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
CMNS 396,D100,fall,2024,CMNS 395.,CMNS 395,False,[],Liesl Jurock,3
EVSC 201W,B100,fall,2024,EVSC 100.,EVSC 100,False,"[{'days': 'We', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Anna Hippmann,3
CMPT 415,D300,fall,2024,Permission of Instructor and School.,,True,[],Anders Miltner,3
FASS 302,D100,fall,2024,Open only to students accepted to the FASS Co-op Program.,,True,[],Liesl Jurock,3
CHEM 296,D001,fall,2024,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.",,False,[],Paul Li,1
CHEM 396,D001,fall,2024,"50 units, including one 3rd year CHEM core course (CHEM 316, 332, 336, 360, 366, 380 or NUSC 341). A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.",CHEM 316;NUSC 341,False,[],Tim Storr,1
CHEM 396,D002,fall,2024,"50 units, including one 3rd year CHEM core course (CHEM 316, 332, 336, 360, 366, 380 or NUSC 341). A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.",CHEM 316;NUSC 341,False,[],Tim Storr,1
CMPT 426,D300,fall,2024,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before their anticipated co-op placement. Students must then enroll with the co-op program by the second week of the term preceding the work term. Normally, students will have completed a minimum of 45 units by the end of the term of application, CMPT 275 or 276, and have a minimum CGPA of 2.50.",CMPT 275,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tanya Behrisch;Cristina Eftenaru;Stephanie Greaves,3
CRIM 370,D100,fall,2024,"CRIM 320 and 330, and written application to the school no later than the last day of classes of the preceding term. CRIM 370 and 470 may not be taken concurrently.",CRIM 320;CRIM 370,False,[],Curt Griffiths,3
PSYC 457,D100,fall,2024,"75 units, including PSYC 301 with a minimum grade of B and permission of a Co-Chair of the Behavioural Neuroscience Program Committee.",PSYC 301,False,"[{'days': 'Tu, Th', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Rebecca Cobb,3
BUS 425,D100,fall,2024,,,False,[],Shauna Tonsaker,3
BUS 225,I100,fall,2024,,,False,[],Shauna Tonsaker,3
FAL X99,D300,fall,2024,,,False,"[{'days': 'Tu, Th', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Olessya Akimenko;Sessional,4
CMPT 427,D400,fall,2024,"CMPT 426, CGPA of 2.50.",CMPT 426,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tanya Behrisch;Cristina Eftenaru;Stephanie Greaves,3
CMPT 429,D300,fall,2024,"CMPT 428, CGPA of 2.50.",CMPT 428,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tanya Behrisch;Cristina Eftenaru;Stephanie Greaves,3
SPAN 210,L100,fall,2024,SPAN 200 (or SPAN 201) or equivalent.,SPAN 200;SPAN 201,False,[],Isabel Mayo-Harp,3
EDUC 414,D100,fall,2024,EDUC 401/402 or corequisite EDUC 403.,EDUC 401;EDUC 403,False,[],Rob Dempsey,4
EDUC 474,D100,fall,2024,EDUC 401/402 or corequisite EDUC 403.,EDUC 401;EDUC 403,False,[],Rob Dempsey,4
EDUC 412W,D100,fall,2024,EDUC 401/402 or corequisite EDUC 403.,EDUC 401;EDUC 403,False,[],Angela Connelly,4
CENV 404,D100,fall,2024,Readmission into Environment Co-operative Education Program.,,True,[],Natalia Bussard,3
CHEM 296,D002,fall,2024,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.",,False,[],Gary Leach,1
CHEM 481,D001,fall,2024,Permission of the Department; knowledge of chemistry at an advanced level. Normally taken after completion of 300-level course requirements.,,True,[],Loren Kaake,5
SEE 290,I100,fall,2024,,,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:30', 'endTime': '16:30', 'campus': None}]",Tyler Schwartz;Wendy McKay;Stephanie Greaves,3
SEE 490,D200,fall,2024,SEE 390 or SEE 394.,SEE 390;SEE 394,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tyler Schwartz;Wendy McKay;Stephanie Greaves,3
CRIM 370,D200,fall,2024,"CRIM 320 and 330, and written application to the school no later than the last day of classes of the preceding term. CRIM 370 and 470 may not be taken concurrently.",CRIM 320;CRIM 370,False,[],Garth Davies,3
FASS 201,D200,fall,2024,Open only to students accepted to the FASS Co-op Program.,,True,[],Liesl Jurock,3
FASS 301,D100,fall,2024,Open only to students accepted to the FASS Co-op Program.,,True,[],Liesl Jurock,3
FASS 401,D200,fall,2024,Open only to students accepted to the FASS Co-op Program.,,True,[],Liesl Jurock,3
FASS 201,D100,fall,2024,Open only to students accepted to the FASS Co-op Program.,,True,[],Liesl Jurock,3
FASS 301,D200,fall,2024,Open only to students accepted to the FASS Co-op Program.,,True,[],Liesl Jurock,3
FASS 401,D100,fall,2024,Open only to students accepted to the FASS Co-op Program.,,True,[],Liesl Jurock,3
EVSC 391,D100,fall,2024,"60 units, 3.0 cumulative grade point average.",,False,[],Jeremy Venditti,2
REM 491,D200,fall,2024,90 units.,,False,[],Sophie Wilkinson,4
CMPT 415,D400,fall,2024,Permission of Instructor and School.,,True,[],Brian Fraser,3
CMPT 416,D100,fall,2024,Permission of the department.,,True,[],Parmit Kaur Chilana,3
CMPT 415,D500,fall,2024,Permission of Instructor and School.,,True,[],Parmit Kaur Chilana,3
CMPT 498,D100,fall,2024,"Students must have completed 90 units, including 15 units of upper division CMPT courses, and have a GPA of at least 3.00. The proposal must be submitted to the Undergraduate Chair at least 15 days in advance of the term. The proposal must be signed by the supervisor(s) and the undergraduate chair.",,False,[],Nicholas Vincent;Parsa Rajabi,6
PSYC 393,D200,fall,2024,"PSYC 201, 60 units, a UDGPA of at least 2.5, and permission of the department. Tri-council ethics certificate.",PSYC 201,False,[],,2
BISC 499,D004,fall,2024,Completion of lower division course requirements.,,False,[],Vicki Marlatt,3
BISC 499,D003,fall,2024,Completion of lower division course requirements.,,False,[],Megan Barker,3
CHEM 296,D003,fall,2024,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.",,False,[],Charles Walsby,1
CHEM 296,D004,fall,2024,"30 units, including five units of 2nd year CHEM courses. A student may enroll in this course only with prior written agreement of a faculty member to act as a research supervisor.",,False,[],Samira Siahrostami,1
MATH 337,D100,fall,2024,MATH 336 and permission of the co-op co-ordinator; students must apply at least one term in advance.,MATH 336,False,[],Magnus Billings;Natalia Bussard;Natalie Erickson,3
MSE 493,D200,fall,2024,MSE 393 or 394 and a minimum of 75 units.,MSE 393,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:30', 'endTime': '16:50', 'campus': None}]",Ryan McDonald;Stephanie DeRapp,3
INDG 447,D100,fall,2024,15 units of INDG (or FNST) courses; permission of an instructor and department approval. Corequisite: Varies depending on topic.,,True,[],Zoe Todd,3
SD 491,D400,fall,2024,60 units and permission of the department.,,True,[],Andres Cisneros-Montemayor,4
HSCI 489,D100,fall,2024,,,False,[],Elizabeth King,3
MBB 351,D200,fall,2024,Acceptance in the Science Co-operative Education Program.,,True,[],Susan Wiggins,3
MBB 490,D001,fall,2024,"MBB 231, with a minimum grade of C, and permission of the molecular biology and biochemistry department. Usually, upper level standing with at least 60 units in a Biochemistry major, minor or honours program will be required.",MBB 231,False,[],Nancy Hawkins,2
MBB 490,D002,fall,2024,"MBB 231, with a minimum grade of C, and permission of the molecular biology and biochemistry department. Usually, upper level standing with at least 60 units in a Biochemistry major, minor or honours program will be required.",MBB 231,False,[],Dheva Setiaputra,2
MBB 491,D001,fall,2024,"MBB 308 or MBB 309W and permission of the MBB department. Upper level standing in an MBB major, minor or honours program is required.",MBB 308;MBB 309W,False,[],Mani Larijani,5
MBB 491,D002,fall,2024,"MBB 308 or MBB 309W and permission of the MBB department. Upper level standing in an MBB major, minor or honours program is required.",MBB 308;MBB 309W,False,[],Dheva Setiaputra;Mani Larijani,5
MBB 492,D001,fall,2024,"MBB 491, MBB 308, MBB 309W and MBB 331, enrollment in the MBB honours program, a minimum 3.0 CGPA and 3.0 UDGPA and permission of the department.",MBB 491;MBB 308;MBB 309W;MBB 331,False,[],Fiona Brinkman,10
MBB 491,D003,fall,2024,"MBB 308 or MBB 309W and permission of the MBB department. Upper level standing in an MBB major, minor or honours program is required.",MBB 308;MBB 309W,False,[],Valentin Jaumouille,5
CMPT 415,D700,fall,2024,Permission of Instructor and School.,,True,[],Bobby Chan,3
CMPT 495,D200,fall,2024,CMPT 494 with a minimum grade of C-. CMPT 495 must be taken in the term immediately following the successful completion of CMPT 494 and must be for the same project and faculty supervisor.,CMPT 494;CMPT 495,False,[],Ke Li,3
INLG 130,A300,fall,2024,Students in the Indigenous Studies program should complete INLG 133 before INLG 130.,INLG 133;INLG 130,False,[],,3
INLG 134,A300,fall,2024,INLG (or FNLG) 133.,,False,[],,3
EDUC 323,D200,fall,2024,60 units including EDUC 220.,EDUC 220,False,"[{'days': 'We', 'startTime': '14:30', 'endTime': '17:20', 'campus': 'Surrey'}]",Sharalyn Jordan,3
HSCI 490,D100,fall,2024,,,False,[],Zabrina Brumme,3
CMPT 415,D600,fall,2024,Permission of Instructor and School.,,True,[],Steven Ko,3
