course,term,year,prereqs
bus 311,spring,2024,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have credit for BUS 251 with a minimum grade of C- and 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have credit for BUS 251 with a minimum grade of C-, 45 units, and corequisite: BUS 200."
bus 312,spring,2024,"BUS 254 (or 324) with a minimum grade of C-; 45 units. Recommended: BUS 207, ECON 201, or ECON 301."
bus 314,spring,2024,"BUS 238 or BUS 240 or BUS 254, with a minimum grade of C-; 45 units."
bus 315,spring,2024,"BUS 312, BUS 336 and BUS 207 or ECON 201 or ECON 301, all with a minimum grade of C-; 45 units."
bus 316,spring,2024,"BUS 312, 336, both with a minimum grade of C-; 45 units."
bus 320,spring,2024,BUS 251 with a minimum grade of C-; 45 units.
bus 321,spring,2024,BUS 320 with a minimum grade of C-; 45 units.
bus 322,spring,2024,"BUS 254 with a minimum grade of C-, 45 units."
bus 325,spring,2024,
bus 326,spring,2024,
bus 327,spring,2024,
bus 330,spring,2024,
bus 331,spring,2024,"BUS 330 (or BUS 329) with a minimum grade of C-, 45 units."
bus 336,spring,2024,"MATH 150, MATH 151, MATH 154, or MATH 157, with a minimum grade of C-; BUS 232, ECON 233, or STAT 270, with a minimum grade of C-; 45 units."
bus 338,spring,2024,"BUS 238 or BUS 240 or BUS 254, with a minimum grade of C-; 45 units."
bus 340,spring,2024,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200."
bus 341,spring,2024,"This course is only open to students admitted to the business administration minor between Fall 2012 - Summer 2016 and who have 45 units, OR to students admitted to the business administration minor Fall 2016 - onwards and who have 45 units, and corequisite: BUS 200."
bus 343,spring,2024,45 units.
bus 345,spring,2024,"BUS 343, 336, both with a minimum grade of C-; 45 units; OR Data Science majors with BUS 343 with a minimum grade of C- and 45 units."
bus 346,spring,2024,45 units.
bus 347,spring,2024,BUS 343 with a minimum grade of C-; 45 units.
bus 361,spring,2024,45 units.
bus 362,spring,2024,BUS 237 with a minimum grade of C-; 45 units; OR Data Science majors with 45 units.
bus 373,spring,2024,BUS 232 with a minimum grade of C-; 45 units.
bus 374,spring,2024,45 units; BUS 272 with a minimum grade of C-.
bus 381,spring,2024,BUS 272 with a minimum grade of C-; 45 units.
bus 393,spring,2024,45 units.
bus 396,spring,2024,45 units.
bus 401,spring,2024,"BUS 311 (or BUS 254 and BUS 312), BUS 340, BUS 341, all with a minimum grade of C-; 60 units. The course is only open to students in the business minor program."
bus 410,spring,2024,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
bus 411,spring,2024,"BUS 315 and BUS 360W, both with a minimum grade of C-; 60 units."
bus 413,spring,2024,"BUS 312, BUS 315, and BUS 360W, all with a minimum grade of C-; 60 units."
bus 417,spring,2024,"BUS 315, 360W, both with a minimum grade of C-; 60 units."
bus 418,spring,2024,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
bus 419,spring,2024,"BUS 315, 316, 360W, all with a minimum grade of C-; 60 units."
bus 420,spring,2024,"BUS 321, 360W, both with a minimum grade of C-; 60 units."
bus 421,spring,2024,"BUS 321 and BUS 360W, both with a minimum grade of C-; 60 units."
bus 424,spring,2024,"BUS 322 and BUS 360W, both with a minimum grade of C-; 60 units."
bus 425,spring,2024,
bus 426,spring,2024,"BUS 321, 360W, both with a minimum grade of C-; 60 units."
bus 430,spring,2024,BUS 360W with a minimum grade of C-; 60 units. Recommended: BUS 346.
bus 432,spring,2024,"BUS 360W and one of BUS 272 or 381, all with a minimum grade of C-; 60 units. Recommended: BUS 346."
bus 437,spring,2024,"BUS 336, 360W, both with a minimum grade of C-; 60 units; OR Data Science majors with BUS 360W with a minimum grade of C- and 60 units."
bus 439,spring,2024,"BUS 345 or BUS 440, BUS 360W, BUS 437 or BUS 441, BUS 445, BUS 462, and BUS 464, all with a minimum grade of C-; 90 units; OR Data Science majors with BUS 360W, BUS 445, CMPT 354, all with a minimum grade of C- and 90 units."
bus 440,spring,2024,"BUS 336, 360W, both with a minimum grade of C-, 60 units; OR Data Science majors with BUS 360W with a minimum grade of C-, 60 units."
bus 441,spring,2024,"BUS 360W, BUS 343, both with a minimum grade of C-; 60 units."
bus 443,spring,2024,"BUS 360W (or another upper division Writing (W) course), 343, both with a minimum grade of C-; 60 units."
bus 444,spring,2024,"BUS 343, 360W, both with a minimum grade of C-; 60 units."
bus 445,spring,2024,"BUS 343, 336, 360W, all with a minimum grade of C-, 60 units; OR Data Science majors with BUS 343, 360W, both with a minimum grade of C-, and 60 units."
bus 446,spring,2024,"BUS 343, 347, 360W, all with a minimum grade of C-; 60 units."
bus 447,spring,2024,"BUS 343, 360W, both with a minimum grade of C-; 60 units. Recommended: BUS 346."
bus 448,spring,2024,"BUS 347, 360W, both with a minimum grade of C-; 60 units."
bus 449,spring,2024,"BUS 343, 360W, both with a minimum grade of C-; 60 units."
bus 450,spring,2024,BUS 360W (or another upper division Writing (W) course) with a minimum grade of C-; 60 units.
bus 453,spring,2024,BUS 360W (or another upper division Writing (W) course) with a minimum grade of C-; 60 units. Recommended: BUS 338.
bus 455,spring,2024,"BUS 254, BUS 345, BUS 347, and BUS 360W, all with a minimum grade of C-; 90 units."
bus 462,spring,2024,"BUS 336, BUS 360W, BUS 362, all with a minimum grade of C-; 60 units. Corequisite: BUS 336 can be taken concurrently."
bus 464,spring,2024,"BUS 360W, 362, both with a minimum grade of C-; 60 units."
bus 468,spring,2024,"BUS 237, BUS 360W, BUS 362, all with a minimum grade of C-; 90 units."
bus 471,spring,2024,60 units; BUS 360W with a minimum grade of C-.
bus 473,spring,2024,"Students admitted prior to Fall 2022 with (BUS 373 or BUS 336) and BUS 360W, or students admitted Fall 2022 onward with BUS 373 and BUS 360W; both with a minimum grade of C-; 60 units."
bus 474,spring,2024,"Students admitted prior to Fall 2022 with (BUS 373 or BUS 336) and BUS 360W, or students admitted Fall 2022 onward with BUS 373 and BUS 360W; both with a minimum grade of C-; 60 units."
bus 475,spring,2024,BUS 360W with a minimum grade of C-; 60 units.
bus 477,spring,2024,"BUS 338, BUS 360W (or another upper division Writing (W) course), both with a minimum grade of C-; 60 units. Recommended: BUS 314, BUS 361."
bus 478,spring,2024,"BUS 207 (or ECON 201 or ECON 301), BUS 312, 343, 360W and either BUS 374 or 381, all with a minimum grade of C-; 90 units."
bus 479,spring,2024,BUS 360W with a minimum grade of C-; 90 units. Corequisite: BUS 478.
bus 481,spring,2024,"BUS 381 and 360W, with a minimum grade of C-; 60 units."
bus 482,spring,2024,"60 units; BUS 272, 381 and 360W, all with a minimum grade of C-."
bus 483,spring,2024,"BUS 393, BUS 360W, both with a minimum grade of C-; 60 units."
bus 485,spring,2024,"BUS 272, 360W, and either 374 or 381, all with a minimum grade of C-; 60 units."
bus 488,spring,2024,"BUS 360W and (BUS 374 or BUS 381), all with a minimum grade of C-; 60 units."
bus 498,spring,2024,Permission of the faculty and BUS 360W with a minimum grade of C-; 60 units.
bus 510,spring,2024,
bus 511,spring,2024,
bus 552,spring,2024,
bus 555,spring,2024,BUS 510 or equivalent.
bus 556,spring,2024,
bus 557,spring,2024,
bus 561,spring,2024,
bus 579,spring,2024,
bus 606,spring,2024,
bus 614,spring,2024,Only for students in the IBL EMBA program.
bus 615,spring,2024,
bus 630,spring,2024,Only for students in the IBL EMBA program.
bus 645,spring,2024,
bus 647,spring,2024,
bus 648,spring,2024,
bus 649,spring,2024,
bus 651,spring,2024,
bus 652,spring,2024,
bus 653,spring,2024,
bus 655,spring,2024,
bus 660,spring,2024,
bus 661,spring,2024,
bus 672,spring,2024,Only for students in the IBL EMBA program.
bus 683,spring,2024,Only for students in the IBL EMBA program.
