name,department,rating,num_ratings,would_take_again_percent,difficulty,courses
David Green,Biology,3.8,34,90,3,BIO300; BISC204; BISC300; BISC304; BISC304W; BISC309; BISC400; BISC410; BISC420
Azadeh Yamini-Hamedani,Literature,3.6,16,55.5556,3.4,WL102; WL103; WL104W; WL300; WL301; WL304; WL402; WLIT203
Hemant Merchant,Business Administration,2.8,20,0,2.9,346; BUS346; BUS435; BUS492; MBUS
Edana Beauvais,Political Science,3.2,5,60,3.6,POL315; SDA490
Gary Leach,Chemistry,4.4,51,77.7778,2.9,CHEM121; CHEM122; CHEM260; CHEM266; CHEM364; CHEM462
Camila Nunes,Languages,4.8,4,100,2.3,PORT100
Xiaoqiong HU,Statistics,2.4,36,35,4.1,STAT201; STAT203; STAT270; STAT285; STAT402; STAT450; STAT475; STATS270
Joseph Taylor,History,3.2,40,60,3.7,432; GEOG376; GEOG377; GEOG432; HIS132; HIST; HIST132; HIST212; HIST213; HIST373; HIST376; HIST377; HIST4; HIST432; HISTHIST
John Alderete,Linguistics,2.7,46,33.3333,3.3,COGS200; LING220; LING221; LING321; LING323; LINQUISTICS221
Christina Brassard,French,4.3,8,75,3.6,FRE340; FREN245; FREN340; FREN341; FREN430
Marion Caldecott,Linguistics,4,25,61.5385,3.1,330; LING221; LING290; LING312; LING321; LING330; LING380; LING800
Alexandra  Gillis,Education,3.4,5,60,2,EDUC252; EDUC471
Ted Palys,Criminal Justice,3.5,76,57.1429,3,321; CRIM220; CRIM220DED; CRIM320; CRIM321; CRIM419; CRIM429; FNST419
James Fleming,English,3.7,79,68.4211,3.3,105; 115W; 203; 3SOMETHING; ENC4313; ENG102; ENG115; ENG115W; ENG203; ENG315; ENG407; ENG416; ENGL102; ENGL102W; ENGL105; ENGL105W; ENGL115W; ENGL203; ENGL216; ENGL313; ENGL315; ENGL416; ENGL416W; UNDER101
Kamal Gupta,Engineering,3,28,31.25,3.7,ENSC380; ENSC383; ENSC385; ENSC488; ENSC887
Michael Adachi,Engineering,4,9,77.7778,2.3,ENSC225; ENSC387; ENSC495
Jessica Stockdale,Mathematics,3.1,17,64.7059,2.9,MATH152; MATH208W
Jeremie Lumbroso,Mathematics,3,28,0,3.1,CMPT120; CMPT225; CPMT225; PHYS100
Terri Griffith,Business Administration,1,2,0,4,BUS750
Jeremy  Turner ,Cognitive Science,3.5,87,66.6667,2.9,COGS100; psyc325
Lynne Bell,Anthropology,2.8,47,38.8889,2.7,332; 333; ARCH; ARCH300; ARCH332; ARCH333; CRIM355; CRIM356; CRIM356AND452; CRIM357; CRIM417; CRIM452; FORENSICARCH
Ataman  Avdan ,Sociology,4.5,39,88.8889,2.9,SA150; SA250; SA255; SA315; SA321; SA326; SA371; SOCI110
Tamon Stephen,Mathematics,2,24,33.3333,3.3,MATH157; MATH208W; MATH232; MATH308; MATH448
Jemima Ackah-Arthur,International Studies,1.3,4,0,5,IS306
David Mitchell,Computer Science,2,175,30.2326,3.2,CMPT125; CMPT225; CMPT307
Peter Hollmann,Biology,4.5,23,70,3,BISC303; BISC303L; BISC357; BISC473L; LAB
Mark Paetzel,Science,3.2,51,55.1724,3.1,MBB222; MBB324; MBB420; MBB423; MBB432
